City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kot Kapūra,1,IN,1615717434,11,30.5833,74.9,93.79,6.93
Fortuna,100,US,1615717434,79,40.5982,-124.1573,46.0,1.01
Severo-Kuril'sk,30,RU,1615717434,86,50.6789,156.125,28.17,9.84
George Town,20,MY,1615717434,58,5.4112,100.3354,91.0,8.05
Lebu,0,CL,1615717435,81,-37.6167,-73.65,55.11,1.34
Punta Arenas,75,CL,1615717435,81,-53.15,-70.9167,39.2,4.61
Port-Gentil,100,GA,1615717436,72,-0.7193,8.7815,82.45,3.27
Cape Town,75,ZA,1615717436,68,-33.9258,18.4232,69.8,19.57
Narsaq,75,GL,1615717436,33,60.9167,-46.05,39.2,16.11
Busselton,0,AU,1615717436,44,-33.65,115.3333,73.99,1.01
Leningradskiy,100,RU,1615717437,92,69.3833,178.4167,14.61,12.55
Atuona,54,PF,1615717437,67,-9.8,-139.0333,78.85,8.84
Evensk,29,RU,1615717437,77,61.95,159.2333,-5.48,4.52
Curitibanos,63,BR,1615717437,96,-27.2828,-50.5844,62.65,2.26
Hanoi,20,VN,1615717372,57,21.0245,105.8412,78.8,11.5
Severnyy,75,RU,1615717438,93,50.677,36.5532,37.4,11.18
Hermanus,84,ZA,1615717438,78,-34.4187,19.2345,68.0,3.0
Cap-aux-Meules,100,CA,1615717438,80,47.3821,-61.8597,23.0,16.11
Dingle,78,PH,1615717438,88,10.9995,122.6711,78.48,2.13
Touros,20,BR,1615717439,83,-5.1989,-35.4608,77.0,4.61
Kapaa,90,US,1615717439,88,22.0752,-159.319,71.01,26.46
Ashington,38,GB,1615717439,3,50.9331,-0.3909,48.99,5.01
Montepuez,53,MZ,1615717439,88,-13.1256,38.9997,78.28,3.47
Druzhba,100,UA,1615717440,99,52.0428,33.9453,35.47,18.72
Rikitea,73,PF,1615717440,77,-23.1203,-134.9692,79.66,13.02
Agadez,51,NE,1615717440,11,19.75,10.25,84.67,14.47
Fort Walton Beach,1,US,1615717440,100,30.4058,-86.6188,64.99,3.11
Kavaratti,6,IN,1615717441,65,10.5669,72.642,83.93,4.76
Outlook,0,CA,1615717441,86,51.5001,-107.0513,33.8,10.36
Vestmanna,75,FO,1615717441,81,62.1564,-7.1664,42.8,13.8
Tuktoyaktuk,1,CA,1615717441,93,69.4541,-133.0374,-19.61,9.91
Barrow,1,US,1615717442,64,71.2906,-156.7887,-11.2,14.97
Ugoofaaru,23,MV,1615717442,76,5.6667,73.0,83.52,13.89
Albany,42,US,1615717442,50,42.6001,-73.9662,34.0,1.99
Lokosovo,13,RU,1615717442,85,61.1333,74.8167,22.37,11.77
Avarua,37,CK,1615717443,94,-21.2078,-159.775,75.2,5.75
Raja,100,SS,1615717443,11,8.4596,25.678,103.68,6.04
Los Llanos de Aridane,75,ES,1615717443,77,28.6585,-17.9182,64.4,9.22
Bermejo,40,AR,1615717443,88,-32.8833,-68.8,62.6,5.75
Yulara,40,AU,1615717443,35,-25.2406,130.9889,73.4,13.8
Ushuaia,0,AR,1615717444,81,-54.8,-68.3,37.4,6.91
Sambava,0,MG,1615717444,65,-14.2667,50.1667,86.13,12.66
Cidreira,8,BR,1615717444,92,-30.1811,-50.2056,70.47,3.58
Vaini,40,TO,1615717444,94,-21.2,-175.2,75.2,4.61
Coyhaique,0,CL,1615717445,85,-45.5752,-72.0662,45.86,1.5
Shaunavon,0,CA,1615717445,59,49.6501,-108.4181,30.2,11.5
Saint Paul Harbor,90,US,1615717445,59,57.79,-152.4072,26.6,3.38
New Norfolk,74,AU,1615717445,53,-42.7826,147.0587,57.99,5.99
Saskylakh,100,RU,1615717446,91,71.9167,114.0833,-17.75,8.97
Tasiilaq,90,GL,1615717446,63,65.6145,-37.6368,23.0,20.71
Pochutla,0,MX,1615717446,73,15.7432,-96.4661,75.0,2.35
Kruisfontein,100,ZA,1615717447,72,-34.0033,24.7314,75.0,4.0
Bredasdorp,95,ZA,1615717447,60,-34.5322,20.0403,71.6,9.22
Ancud,0,CL,1615717447,87,-41.8697,-73.8203,41.0,3.44
Necochea,0,AR,1615717448,98,-38.5473,-58.7368,57.0,1.99
Puerto Ayora,68,EC,1615717449,95,-0.7393,-90.3518,72.0,4.74
Mazatlán,75,MX,1615717449,76,23.2167,-106.4167,61.0,15.28
Jamestown,1,US,1615717449,74,42.097,-79.2353,35.01,9.82
Thinadhoo,74,MV,1615717449,66,0.5333,72.9333,84.4,7.9
Bluff,96,NZ,1615717449,60,-46.6,168.3333,64.99,8.01
St. George's,97,GD,1615717450,84,12.0564,-61.7485,76.03,9.08
Odoyev,100,RU,1615717450,99,53.9393,36.6864,34.43,15.48
Tiksi,97,RU,1615717450,86,71.6872,128.8694,-0.31,5.79
Lompoc,90,US,1615717450,76,34.6391,-120.4579,50.0,4.61
Khatanga,100,RU,1615717451,91,71.9667,102.5,-16.51,10.33
Amga,87,RU,1615717451,87,60.8953,131.9608,13.44,1.07
Makamba,18,BI,1615717451,66,-4.1348,29.804,75.29,5.79
Castro,3,BR,1615717451,94,-24.7911,-50.0119,62.53,1.77
Dongsheng,100,CN,1615717452,28,39.8161,109.9776,58.91,8.63
Tiarei,0,PF,1615717452,78,-17.5333,-149.3333,80.01,3.44
Hilo,90,US,1615717452,88,19.7297,-155.09,69.8,1.41
Mataura,53,NZ,1615717452,60,-46.1927,168.8643,64.99,8.01
Yangi Marg`ilon,75,UZ,1615717452,42,40.4272,71.7189,42.8,16.11
Nakhon Thai,40,TH,1615717453,48,17.1006,100.8374,91.4,2.3
Itoman,75,JP,1615717182,64,26.1247,127.6694,69.01,10.36
Kavala,75,GR,1615717453,72,40.9397,24.4019,59.0,3.4
Tānsen,16,NP,1615717453,19,27.8673,83.5467,78.69,8.34
Andenes,75,NO,1615717454,87,69.3143,16.1194,37.4,7.65
Bilibino,100,RU,1615717454,99,68.0546,166.4372,-11.2,4.0
Nemuro,75,JP,1615717454,87,43.3236,145.575,39.2,12.66
Airai,100,TL,1615717454,97,-8.9266,125.4092,63.5,0.67
Port-Cartier,75,CA,1615717455,51,50.0334,-66.8654,6.01,12.66
Vardø,75,NO,1615717455,86,70.3705,31.1107,24.8,6.91
Guerrero Negro,11,MX,1615717455,80,27.9769,-114.0611,53.89,13.78
Lorengau,56,PG,1615717455,72,-2.0226,147.2712,81.93,1.32
Katsuura,20,JP,1615717456,30,35.1333,140.3,54.0,18.41
Portland,40,US,1615717287,76,45.5234,-122.6762,45.0,9.22
Cangzhou,100,CN,1615717230,54,38.3167,116.8667,61.38,7.25
Aurās,1,IN,1615717456,33,26.9167,80.5167,87.8,13.8
Seoul,9,KR,1615717166,76,37.5683,126.9778,51.8,2.3
Yellowknife,90,CA,1615717457,85,62.456,-114.3525,3.2,11.5
Kavieng,4,PG,1615717457,67,-2.5744,150.7967,82.81,1.28
Hasaki,20,JP,1615717458,43,35.7333,140.8333,51.8,11.5
Saint-Philippe,90,RE,1615717458,70,-21.3585,55.7679,84.2,23.02
Dikson,100,RU,1615717458,93,73.5069,80.5464,-20.52,16.96
Khovd,0,MN,1615717458,25,48.0056,91.6419,22.59,10.36
Sechura,93,PE,1615717458,76,-5.5569,-80.8222,74.89,9.69
Alpena,1,US,1615717459,64,45.0617,-83.4327,33.8,5.75
Le Port,75,RE,1615717459,66,-20.9373,55.2919,86.0,17.27
Laguna,1,US,1615717459,71,38.421,-121.4238,46.4,10.36
Codrington,50,AU,1615717460,71,-38.2667,141.9667,54.37,8.19
Mercedes,11,AR,1615717460,97,-34.6515,-59.4307,59.0,6.87
Tuatapere,100,NZ,1615717460,60,-46.1333,167.6833,64.99,8.01
Pishin,0,PK,1615717460,19,30.5803,66.9961,69.04,14.97
Hangu,90,CN,1615717460,54,39.2489,117.7892,57.2,8.95
Itarema,44,BR,1615717461,86,-2.9248,-39.9167,77.5,6.55
Port Alfred,15,ZA,1615717461,76,-33.5906,26.891,78.01,5.99
Arraial do Cabo,20,BR,1615717461,88,-22.9661,-42.0278,77.0,5.75
Nikolskoye,90,RU,1615717461,75,59.7035,30.7861,37.99,13.42
Zhigansk,100,RU,1615717462,90,66.7697,123.3711,5.77,11.68
Kimbe,96,PG,1615717463,82,-5.5502,150.1429,78.48,1.34
Port Lincoln,2,AU,1615717463,63,-34.7333,135.8667,58.59,9.98
Hobart,75,AU,1615717273,44,-42.8794,147.3294,59.0,14.97
Cherskiy,100,RU,1615717463,98,68.75,161.3,-6.32,10.22
Taoudenni,0,ML,1615717464,26,22.6783,-3.9836,79.59,15.52
Chui,0,UY,1615717465,86,-33.6971,-53.4616,57.85,4.99
Lødingen,75,NO,1615717466,93,68.414,15.9951,36.0,4.61
Upernavik,100,GL,1615717466,96,72.7868,-56.1549,-1.08,3.58
Ambilobe,32,MG,1615717466,68,-13.2,49.05,87.15,5.14
Adrar,7,MR,1615717189,27,20.5022,-10.0711,77.04,15.05
Makakilo City,40,US,1615717467,73,21.3469,-158.0858,71.6,8.05
São Félix do Xingu,83,BR,1615717467,99,-6.6447,-51.995,69.48,0.67
Mayo,1,US,1615717468,33,38.8876,-76.5119,45.0,4.61
Yumen,1,CN,1615717468,7,40.2833,97.2,68.38,8.52
Torbay,90,CA,1615717468,93,47.6666,-52.7314,27.0,16.11
Souillac,75,MU,1615717468,89,-20.5167,57.5167,80.6,6.91
Gornopravdinsk,98,RU,1615717469,90,60.05,69.9,17.42,11.03
São Filipe,0,CV,1615717469,64,14.8961,-24.4956,72.63,3.94
Norman Wells,75,CA,1615717469,77,65.282,-126.8329,-4.0,2.3
Vostok,12,RU,1615717469,89,46.4856,135.8833,26.96,2.24
Saint George,1,US,1615717469,81,37.1041,-113.5841,41.0,5.46
Karaman Province,54,TR,1615717470,50,37.0833,33.25,52.27,15.84
Salalah,0,OM,1615717470,51,17.0151,54.0924,84.2,11.5
Kahului,90,US,1615717470,83,20.8947,-156.47,69.8,6.91
Shimoda,0,JP,1615717291,64,34.6667,138.95,50.0,1.99
Bertoua,85,CM,1615717471,45,4.5833,13.6833,89.26,4.5
Ribeira Grande,40,PT,1615717471,94,38.5167,-28.7,62.6,17.27
Chokurdakh,0,RU,1615717471,84,70.6333,147.9167,-17.28,3.56
Abashiri,75,JP,1615717280,80,44.0213,144.2697,34.0,9.22
Porto-Novo,75,BJ,1615717472,94,6.4965,2.6036,80.6,8.05
Arlit,29,NE,1615717472,9,18.7369,7.3853,86.7,9.73
Kuching,40,MY,1615717248,83,1.55,110.3333,82.4,6.91
